file,model_count
2008-10-21_17-14-26.dimacs,61394113290235506668453721563022261848817046194841210921401334059704473882360552534095498801476062469552433196762500000000000000
2008-10-24_10-49-49.dimacs,61394113290235506668453721563022261848817046194841210921401334059704473882360552534095498801476062469552433196762500000000000000
2008-10-24_22-43-27.dimacs,239995170134556980613046366109996114499921180579833824510932487687935670631045796269646040769406426017341329769162500000000000000
2008-10-26_00-24-38.dimacs,180461484519783155964848817927671496949553135784836286647755436478525271714817381691129193446762971501411697578362500000000000000
2008-10-26_11-08-14.dimacs,180461484519783155964848817927671496949553135784836286647755436478525271714817381691129193446762971501411697578362500000000000000
2008-11-06_00-49-59.dimacs,125766502829326966011376841757891305841549464895761242631861072506909217603716208786645686396601962146000536801250000000000000000
2008-11-06_23-07-42.dimacs,251533005658653932022753683515782611683098929791522485263722145013818435207432417573291372793203924292001073602500000000000000000
2008-11-06_23-42-42.dimacs,2587196629631869015091180744733764005883303277855659848426856348713561047847876295039568405872954649860582471340000000000000000000
2008-11-10_13-32-50.dimacs,2587196629631869015091180744733764005883303277855659848426856348713561047847876295039568405872954649860582471340000000000000000000
2008-11-10_18-52-35.dimacs,7761589888895607045273542234201292017649909833566979545280569046140683143543628885118705217618863949581747414020000000000000000000
2008-11-14_21-18-45.dimacs,7761589888895607045273542234201292017649909833566979545280569046140683143543628885118705217618863949581747414020000000000000000000
2008-11-22_18-41-41.dimacs,9276046452582554761424477304289348996703550776701999944359704469777889610576532082215037943007910573890381055780000000000000000000
2008-11-24_13-25-20.dimacs,9276046452582554761424477304289348996703550776701999944359704469777889610576532082215037943007910573890381055780000000000000000000
2008-11-29_09-05-50.dimacs,27828139357747664284273431912868046990110652330105999833079113409333668831729596246645113829023731721671143167340000000000000000000
2008-12-03_18-48-39.dimacs,27828139357747664284273431912868046990110652330105999833079113409333668831729596246645113829023731721671143167340000000000000000000
2009-01-22_13-27-14.dimacs,27828139357747664284273431912868046990110652330105999833079113409333668831729596246645113829023731721671143167340000000000000000000
2009-01-23_02-07-14.dimacs,83484418073242992852820295738604140970331956990317999499237340228001006495188788739935341487071195165013429502020000000000000000000
2009-01-31_14-22-24.dimacs,82595159752401956662148611127642595466716957702062012692499331531684485502848456726981427121751136783849198196140000000000000000000
2009-01-31_21-45-57.dimacs,82595159752401956662148611127642595466716957702062012692499331531684485502848456726981427121751136783849198196140000000000000000000
2009-02-03_23-59-41.dimacs,82595159752401956662148611127642595466716957702062012692499331531684485502848456726981427121751136783849198196140000000000000000000
2009-02-04_23-43-44.dimacs,20664917605326290120365742070727553825439988636209735536967419318393332613443729995998216991409227401530611680940000000000000000000
